Air_temperature_K_,Rotational_speed_rpm_,Torque_Nm_,Tool_wear_min_,TWF,HDF,PWF,OSF,RNF,Type_encoded
299.3,1725,26.6,155,0,0,0,0,0,2
300.7,1599,36.4,92,0,0,0,0,0,1
302.0,1835,23.9,2,0,0,0,0,0,2
298.5,1457,44.7,16,0,0,0,0,0,1
301.2,1809,27.9,106,0,0,0,0,0,1
297.4,1578,35.5,126,0,0,0,0,0,1
298.9,1377,21.7,105,0,0,0,0,0,2
300.4,1681,27.1,180,0,0,0,0,0,3
301.5,1553,28.0,220,0,0,0,0,0,1
300.5,1346,48.9,106,0,0,0,0,0,1
301.5,1608,31.1,0,0,0,0,0,0,1
301.6,1588,48.6,89,0,0,0,0,0,1
299.2,1488,43.8,137,0,0,0,0,0,3
301.8,1429,47.9,59,0,0,0,0,0,2
299.3,1647,40.1,172,0,0,0,0,0,1
301.3,1533,39.2,172,0,0,0,0,0,1
295.9,1399,49.2,179,0,0,0,0,0,2
298.6,1364,45.8,104,0,0,0,0,0,1
301.2,1424,41.4,131,0,0,0,0,0,2
304.0,1634,32.0,146,0,0,0,0,0,2
300.9,1518,35.0,74,0,0,0,0,0,3
297.4,1531,38.7,16,0,0,0,0,0,2
300.2,1413,43.7,155,0,0,0,0,0,1
298.5,1362,46.4,179,0,0,0,0,0,2
297.4,1621,29.0,85,0,0,0,0,0,2
302.2,1494,40.6,73,0,0,0,0,0,1
303.3,1557,38.5,2,0,0,0,0,0,2
299.4,1451,40.2,62,0,0,0,0,0,1
298.2,2090,19.0,49,0,0,0,0,0,2
303.7,1501,30.9,116,0,0,0,0,0,1
298.9,1598,32.8,105,0,0,0,0,0,1
300.2,1542,35.8,89,0,0,0,0,0,2
298.0,1626,33.5,50,0,0,0,0,0,1
300.4,1392,52.7,0,0,0,0,0,0,1
302.2,1740,28.1,179,0,0,0,0,0,1
301.8,1840,26.6,96,0,0,0,0,0,1
300.0,1465,46.8,31,0,0,0,0,0,1
300.9,1578,35.2,201,0,0,0,0,0,1
300.2,1462,41.0,165,0,0,0,0,0,1
299.0,1642,33.3,99,0,0,0,0,0,1
298.6,1604,39.4,27,0,0,0,0,0,3
298.9,1404,47.5,183,0,0,0,0,0,1
302.5,1688,31.6,134,0,0,0,0,0,1
299.6,1486,35.2,139,0,0,0,0,0,1
297.7,1567,36.9,165,0,0,0,0,0,2
301.1,1495,43.6,5,0,0,0,0,0,1
301.5,1412,42.1,181,0,0,0,0,0,3
300.4,1418,43.5,223,0,0,0,0,0,1
297.9,1446,44.5,85,0,0,0,0,0,1
297.6,1417,47.5,177,0,0,0,0,0,2
297.4,1430,43.6,76,0,0,0,0,0,1
297.2,1464,41.0,117,0,0,0,0,0,1
301.2,1636,35.5,56,0,0,0,0,0,1
299.9,1467,41.2,20,0,0,0,0,0,1
300.9,2355,15.4,201,0,0,0,0,0,1
300.2,1429,44.7,40,0,0,0,0,0,1
301.5,1355,57.8,195,0,0,0,0,0,1
297.8,1567,36.7,146,0,0,0,0,0,1
298.8,1553,42.4,104,0,0,0,0,0,3
301.6,1441,47.8,7,0,0,0,0,0,2
298.0,1479,43.5,96,0,0,0,0,0,1
297.7,1585,30.9,131,0,0,0,0,0,2
298.5,1469,54.8,191,0,0,0,0,0,2
300.3,1365,53.5,98,0,0,0,0,0,1
298.2,1532,36.1,15,0,0,0,0,0,2
297.3,1543,36.2,54,0,0,0,0,0,1
298.8,1472,46.7,146,0,0,0,0,0,1
295.6,1431,49.3,27,0,0,0,0,0,1
302.5,1878,24.5,124,0,0,0,0,0,1
297.3,1469,57.4,131,0,0,0,0,0,2
